Clase de aviso;Ubicac.técnica;Denominación;Equipo;Denominación;Creado el;Fecha ref.;Aviso;Orden;Autor del aviso;Descripción;Fecha de aviso;Status sistema;Fecha de cierre;Costo ML;Moneda
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-STC-01;SISTEMA TRATAMIENTO DE CARBON;03.04.2026;10.04.2026;11865045;9387315;12000PAE;FABRICACION DRENO TUBERIA CARBON JS;03.04.2026;MECE ORAS;10.04.2026;26.56;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-04;ESTACION DILUCION 4 (JARABE TERMINADO);02.04.2026;03.04.2026;11864758;9427945;12000PAE;SEG I CAMBIO CORAZA CONEXIO BOMBA ED4 JT;02.04.2026;MECE ORAS;06.05.2026;98.28;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6704-01;TANQUE 4 DE JARABE TERMINADO (6704);02.04.2026;10.04.2026;11864757;9387149;12000PAE;SEG I CAMBIO ROSCA JARABE SIMPLE TQ 4;02.04.2026;MECE ORAS;10.04.2026;13.08;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6706-01;TANQUE 6 DE JARABE TERMINADO (6706);02.04.2026;02.04.2026;11864729;9387148;76012271;SEG|CAMBIO DE CENSOR DE BAJO NIVEL TQ 6;02.04.2026;MECE ORAS;02.04.2026;19.92;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);02.04.2026;02.04.2026;11864466;9386686;12000PAE;MA I CAMBIO DE SELLO BOMBA TQ 13 JT;02.04.2026;MECE ORAS;02.04.2026;2.97;USD
ZA;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;31.03.2026;31.03.2026;11863801;9385077;12000PAE;CAMBIO BOMBA BREDEL HOLDING JS;31.03.2026;MECE ORAS;31.03.2026;0.18;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;31.03.2026;31.03.2026;11863737;9384984;12000PAE;MA I CAMBIO EMPAQUE TUBERIA RECIRC CIP 1;31.03.2026;MECE ORAS;31.03.2026;0.83;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-SIV-01;SISTEMA DE VENTILACION, JARABE TERMINADO;31.03.2026;10.04.2026;11863834;9389923;12000PAE;LIMPIEZA TECHO JARABE TERMINADO;31.03.2026;MECE ORAS;10.04.2026;53.88;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;30.03.2026;31.03.2026;11863477;9385079;12000PAE;MA I CAMBIO BOMBA DOSIFICADORA HOLD 1 JS;30.03.2026;MECE ORAS;31.03.2026;53.88;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);28.03.2026;28.03.2026;11862897;9383470;11136PAE;SEGl Cambio de conector TQ 13 JT;28.03.2026;MECE ORAS;31.03.2026;1839.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6706-01;TANQUE 6 DE JARABE TERMINADO (6706);27.03.2026;27.03.2026;11862539;9382135;11136PAE;LIMPIEZA TECHOS TABLEROS JARTER;27.03.2026;MECE ORAS;27.03.2026;1720.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESID-TOA-01;TOLVA DE AZUCAR;27.03.2026;27.03.2026;11862610;9382140;11136PAE;LIMPIEZA EN TOLVA DE AZUCAR;27.03.2026;MECE ORAS;27.03.2026;790.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6711-01;TANQUE 11 DE JARABE TERMINADO (6711);25.03.2026;25.03.2026;11861383;9379341;12000PAE;MA I CAMBIO DE SELLO A BOMBA TQ11;25.03.2026;MECE ORAS;26.03.2026;520.00;USD
ZM;SS01-M1-NI1-PMX1;AREA DE LLENADO DE CILINDROS POST MIX;1EPMX-LLB-01;LLENADORA BAG IN BOX;25.03.2026;25.03.2026;11861124;9378939;11136PAE;SEGlcambio reguladora racd 8 LLDRAL6 JT;25.03.2026;MECE ORAS;26.03.2026;1.49;USD
ZA;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;23.03.2026;27.03.2026;11860453;9380708;11136PAE;SEG| Inspeccion y Limpz en JS tolva;23.03.2026;MECE ORAS;27.03.2026;5.01;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;22.03.2026;22.03.2026;11860067;9360705;12000PAE;CAMBIO BATERIAS CONTROL TOLVA AZUCAR;22.03.2026;MECE ORAS;27.03.2026;48.92;USD
ZI;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;21.03.2026;23.03.2026;11860048;9360345;12000PAE;MA I CAMBIO EMPAQUE VALVULA DRENO F2;21.03.2026;MECE ORAS;23.03.2026;5.69;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-TOE-01;TORRE DE ENFRIAMIENTO (JARABE SIMPLE);20.03.2026;27.03.2026;11859570;9380710;12000PAE;CAMBIO CABLEADO A TORRE ENFRIAMIENTO JS;20.03.2026;MECE ORAS;27.03.2026;364.85;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-TOE-01;TORRE DE ENFRIAMIENTO (JARABE SIMPLE);20.03.2026;20.03.2026;11859538;9358289;12000PAE;CAMBIO GUARDAMOTOR TORRE ENFRIAMIENTO JS;20.03.2026;MECE ORAS;27.03.2026;125.09;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;19.03.2026;19.03.2026;11859182;9435208;76002049;MA|CAMBIO EMP POR FUG EN VAL REG JS;19.03.2026;MECE PTBO;23.05.2026;6.94;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-TOE-01;TORRE DE ENFRIAMIENTO (JARABE SIMPLE);19.03.2026;23.03.2026;11859255;9358023;11136PAE;INSTALACION MOTORTORRE JARABE SIMPLE;19.03.2026;MECE ORAS;23.03.2026;190.00;USD
ZA;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6709-01;TANQUE 9 DE JARABE TERMINADO (6709);17.03.2026;19.03.2026;11858432;9357479;11136PAE;MAl CAMBIO DE BOMBA TQ9 JT;17.03.2026;MECE ORAS;19.03.2026;364.85;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-04;ESTACION DILUCION 4 (JARABE TERMINADO);16.03.2026;27.03.2026;11857703;9380711;76011305;SEG| BASE DE AJITADOR QUEBRADA;16.03.2026;MECE ORAS;27.03.2026;69.55;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-TOE-01;TORRE DE ENFRIAMIENTO (JARABE SIMPLE);14.03.2026;14.03.2026;11857211;9354440;11136PAE;RQ|REPARACION MOTOR TORRE ENFRIAMIENTO;14.03.2026;MECE ORAS;27.03.2026;780.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;12.03.2026;12.03.2026;11856457;9353320;12000PAE;CONEXION MEDIDOR TEMPERATURA NUEVO;12.03.2026;MECE ORAS;12.03.2026;0.78;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6719-01;TANQUE 19 DE JARABE TERMINADO (6719);12.03.2026;12.03.2026;11856673;9428161;76002032;MA|CAMB SELL MECA MOTAGITADOR TQ20;12.03.2026;MECE PTBO;23.05.2026;1.85;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-STC-01;SISTEMA TRATAMIENTO DE CARBON;11.03.2026;12.03.2026;11856144;9353179;76001947;ZM I FUGA EN CARACOL DE BOMBA DE CARBON;11.03.2026;MECE ORAS;12.03.2026;250.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESIF-FI2-DDT;TANQUE DOSIFICADOR TIERRA 8701FILTRO 2;11.03.2026;12.03.2026;11856203;9352992;11136PAE;MA|FUGA BOMBA BREDEL;11.03.2026;MECE ORAS;12.03.2026;79.10;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP2-01;SISTEMA CIP 2;08.03.2026;12.03.2026;11854858;9350437;;RQ|CABLE PARA CONEXION MED VAPOR;08.03.2026;MECE ORAS;12.03.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;08.03.2026;08.03.2026;11854726;9350414;11136PAE;MAl cambio de racord 8 en Tolva JS;08.03.2026;MECE ORAS;11.03.2026;79.10;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;07.03.2026;09.03.2026;11854355;9349321;76002264;MA|Reparar manguera aire tablero FiltroJ;07.03.2026;MECE ORAS;09.03.2026;25.77;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-04;ESTACION DILUCION 4 (JARABE TERMINADO);06.03.2026;08.04.2026;11853996;9353382;12000PAE;HER| CAMBIO CINTA METRICA 5 MTS;06.03.2026;MECE ORAS;08.04.2026;14.07;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-04;ESTACION DILUCION 4 (JARABE TERMINADO);06.03.2026;08.04.2026;11853999;9353375;12000PAE;HER| CAMBIO JUEGO DE CUBOS MM DE 1/4;06.03.2026;MECE ORAS;08.04.2026;6.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-04;ESTACION DILUCION 4 (JARABE TERMINADO);06.03.2026;08.04.2026;11854045;9353390;12000PAE;HER|CAMBIO JUEGO LLAVES ALLEN MM;06.03.2026;MECE ORAS;08.04.2026;519.37;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP2-01;SISTEMA CIP 2;04.03.2026;05.03.2026;11853188;9422537;76002037;MA|FUGA VALV DE SUMI POR EMP VAPOR CIP 2;04.03.2026;MECE ORAS;28.04.2026;364.85;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-STC-01;SISTEMA TRATAMIENTO DE CARBON;04.03.2026;04.03.2026;11853277;9356746;76001947;ZM|FUGA EN BOMBA DE CARBON;04.03.2026;MECE ORAS;28.05.2026;14.34;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;03.03.2026;05.03.2026;11852652;9346866;12000PAE;MA|CAMBIO SELLO BOMBA RECIRC FILTRO 2;03.03.2026;MECE ORAS;05.03.2026;0.18;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-TQG-01;TANQUE PARA GOMA;02.03.2026;03.03.2026;11852326;9346135;12000PAE;CAMBIO INJERTO A BOMBA DE LOBULOS JT;02.03.2026;MECE ORAS;03.03.2026;0.16;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;27.02.2026;28.02.2026;11851488;9347135;11136PAE;MAl CAMBIO DE MANGUERA A JS A MITECO;27.02.2026;MECE ORAS;30.04.2026;7.56;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-STC-01;SISTEMA TRATAMIENTO DE CARBON;26.02.2026;02.03.2026;11851181;9346199;76012041;MA||FUGA DE CARBOM POR MANGUERA DANADA;26.02.2026;MECE ORAS;02.03.2026;2.60;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6708-01;TANQUE 8 DE JARABE TERMINADO (6708);26.02.2026;26.02.2026;11850791;9343081;76012470;MA| FUGA EN SELLO MECANICO DE BOMBA TQ8;26.02.2026;MECE ORAS;26.02.2026;95.00;USD
ZA;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;25.02.2026;02.03.2026;11850744;9346168;12000PAE;DESHATASCAMIENTO DE TORNILLO SINFIN TOLV;25.02.2026;MECE ORAS;02.03.2026;210.03;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESIF-FI2-01;FILTRO 2 (JARABE SIMPLE);24.02.2026;28.02.2026;11849918;9327497;11136PAE;REQ|REPARACION MOTOBOMBA DE JARSIM;24.02.2026;MECE ORAS;28.05.2026;50.90;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP2-01;SISTEMA CIP 2;22.02.2026;22.02.2026;11849272;9320476;11136PAE;SC|CAMBIO MANOMETRO DAÑADO CIP2 JARSIM;22.02.2026;MECE ORAS;22.02.2026;18.74;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESTC-HO1-01;HOLDING 1 (SISTEMA TRATAMIENTO CARBON);22.02.2026;22.02.2026;11849271;9320477;11136PAE;SC|CAMBIO MANOMETRO DAÑADO HOLDING 1;22.02.2026;MECE ORAS;22.02.2026;1.85;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;;;20.02.2026;02.03.2026;11848781;9346201;76002032;COMPONENTE MAL UBICADO;20.02.2026;MECE ORAS;02.03.2026;1.25;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-FLJ-01;SISTEMA FLOTACION JARABE SIMPLE;20.02.2026;21.02.2026;11848814;9317563;11136PAE;MAl Fuga en valvula 110-80 Js;20.02.2026;MECE ORAS;21.02.2026;1.30;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;18.02.2026;18.02.2026;11847607;9390689;76002037;MEDIDOR DE FLUJO EN CIP 3;18.02.2026;MECE;27.03.2026;0.35;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;18.02.2026;18.02.2026;11847606;9390689;76002037;VALVULA CONTROLADORA DE VAPOR;18.02.2026;MECE PTBO;28.05.2026;0.95;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;18.02.2026;18.02.2026;11847604;9390689;76002037;MA|CAMBIO VALV CORTE SUMI VAPOR CIP 3;18.02.2026;MECE PTBO;28.05.2026;1.85;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;18.02.2026;20.02.2026;11847603;9540211;76002037;VISORES DE TANQUES CIP 3;18.02.2026;MECE ORAS;04.08.2026;2.56;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;18.02.2026;19.02.2026;11847622;9427918;76002264;MA | Cambiar empaque union bomba F1 JS;18.02.2026;MECE ORAS;06.05.2026;0.55;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-03;ESTACION DILUCION 3 (JARABE TERMINADO);17.02.2026;17.02.2026;11847160;9390689;11136PAE;MAl cambio de empaque DN32 1/2 ED4 JT;17.02.2026;MECE;14.04.2026;0.75;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6709-01;TANQUE 9 DE JARABE TERMINADO (6709);17.02.2026;17.02.2026;11847182;9390689;11136PAE;Soldadura a aspa de tq 9 JT;17.02.2026;MECE PTBO;29.04.2026;1.25;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP2-01;SISTEMA CIP 2;16.02.2026;18.02.2026;11847094;9314105;11136PAE;MAlponer adapte en valvula tq conde cip2;16.02.2026;MECE ORAS;18.02.2026;1.49;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-04;ESTACION DILUCION 4 (JARABE TERMINADO);16.02.2026;19.02.2026;11847095;9314106;11136PAE;MAl cambio de empaque DN40 ED4;16.02.2026;MECE ORAS;19.02.2026;2.56;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-03;ESTACION DILUCION 3 (JARABE TERMINADO);14.02.2026;22.02.2026;11846285;9313723;76002032;FUGA VALVULA MANUAL DN65 ED3;14.02.2026;MECE ORAS;22.02.2026;0.55;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;12.02.2026;13.02.2026;11845637;9311774;12000PAE;FUGA EN BOMBA DOSIF DE SODA CIP 1;12.02.2026;MECE ORAS;13.02.2026;0.35;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP2-01;SISTEMA CIP 2;12.02.2026;17.02.2026;11845379;9311616;;INST SISTEMA REGULACION DE VAPOR CIP 2;12.02.2026;MECE ORAS;17.02.2026;44.90;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6711-01;TANQUE 11 DE JARABE TERMINADO (6711);13.02.2026;13.02.2026;11845655;9311783;12000PAE;AFJ | SENSOR TANQUE 11 PUENTIADO;12.02.2026;MECE ORAS;13.02.2026;5.69;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6712-01;TANQUE 12 DE JARABE TERMINADO (6712);12.02.2026;13.02.2026;11845652;9311782;12000PAE;CAMBIO MANGERA DRENO LLENADORA L6;12.02.2026;MECE ORAS;13.02.2026;15.95;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-01;TANQUE 14 DE JARABE TERMINADO (6714);11.02.2026;11.02.2026;11844779;9313722;11136PAE;Segl Coopling de agitador tq14 JT;11.02.2026;MECE ORAS;13.04.2026;2.60;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6709-01;TANQUE 9 DE JARABE TERMINADO (6709);10.02.2026;10.02.2026;11844421;9313825;76002037;MA| FUGA TUBERIA EN TEE LINEA 4 JARTER;10.02.2026;MECE ORAS;13.04.2026;1.25;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;09.02.2026;09.02.2026;11844064;9390210;76002037;MA|FUGA TUB PICADURA SUMINISTRO CIP1;09.02.2026;MECE;14.04.2026;0.75;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;09.02.2026;10.02.2026;11844066;9310319;76002037;FUGA EXCESIVA;09.02.2026;MECE ORAS;10.02.2026;1.25;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-01;ESTACION DILUCION 1 (JARABE TERMINADO);09.02.2026;09.02.2026;11843908;9388166;76002032;MA|FUGA PNEL PRIN SUMINISTRO CIP 1 JARTE;09.02.2026;MECE;14.04.2026;1.16;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESIF-FI2-01;FILTRO 2 (JARABE SIMPLE);09.02.2026;02.03.2026;11844101;9309723;11136PAE;FUGA EN CODOS FILTRO 1 JARSIM;09.02.2026;MECE ORAS;02.03.2026;5.55;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-03;ESTACION DILUCION 3 (JARABE TERMINADO);06.02.2026;19.02.2026;11842924;9313720;76001959;MA| FUGA EN VALVULA H2O TRATADA EST. 3;06.02.2026;MECE ORAS;19.02.2026;0.75;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;05.02.2026;16.02.2026;11842291;9313718;76001947;ZM|BOMBA DEL AGUITADOR DEL HOLDING 2;04.02.2026;MECE ORAS;16.02.2026;1.80;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;03.02.2026;22.02.2026;11841590;9303198;76015706;REQ| CAMBIO A/C CUARTO DE BOMBAS JAR;03.02.2026;MECE ORAS;22.02.2026;6.87;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1012076;INTERCAMBIADOR DE JARABE;02.02.2026;22.02.2026;11841131;9302770;11136PAE;RQ|CAMBIO INTERCAMBIADOR DE CALOR;02.02.2026;MECE ORAS;22.02.2026;18.74;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6704-01;TANQUE 4 DE JARABE TERMINADO (6704);29.01.2026;02.03.2026;11839602;9346206;76012405;MA| FUGA DE JARABE TANQ 4 L-4 JARTER;29.01.2026;MECE ORAS;02.03.2026;1.06;USD
ZI;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6707-01;TANQUE 7 DE JARABE TERMINADO (6707);28.01.2026;02.02.2026;11839441;9300831;76012271;MA| cambio d sello me canico tq 7;28.01.2026;MECE ORAS;02.02.2026;1.85;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-04;ESTACION DILUCION 4 (JARABE TERMINADO);28.01.2026;28.01.2026;11839069;9387315;76001959;MA| FUGA EN VISOR TQ 4 PARTE DE LA UNION;28.01.2026;MECE;14.04.2026;2.95;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6716-01;TANQUE 16 DE JARABE TERMINADO (6716);27.01.2026;29.01.2026;11838862;9296239;76002032;dano de rosca;27.01.2026;MECE ORAS;29.01.2026;5.81;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-03;ESTACION DILUCION 3 (JARABE TERMINADO);26.01.2026;27.01.2026;11838426;9296236;12000PAE;CAMBIO DE ARANDELA SIN FIN ED3;26.01.2026;MECE ORAS;27.01.2026;364.85;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-AT14;AGITADOR TANQUE 14 (JARTER);26.01.2026;26.01.2026;11838440;9295407;11136PAE;RQ|RODAMIENTO MANTO AGITADORES;26.01.2026;MECE ORAS;13.04.2026;2.40;USD
ZI;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-EQC-01;EQUIPOS DE MEDICIÓN CIP;25.01.2026;26.04.2026;11837929;9422554;76002037;SOLO TRABAJA FORZADA;25.01.2026;MECE ORAS;28.04.2026;5.81;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;25.01.2026;25.01.2026;11837766;9378939;76002037;TUBERIA DE VAPOR CIP1;25.01.2026;MECE PTBO;27.03.2026;4.80;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;23.01.2026;29.01.2026;11837148;9296241;76002049;FUGA POR SELLO;23.01.2026;MECE ORAS;29.01.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;23.01.2026;18.02.2026;11837224;9311345;12000PAE;MA|CAMB SELLO MECANI DANADO HOLDING 1;23.01.2026;MECE ORAS;18.02.2026;5.30;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;20.01.2026;29.01.2026;11836094;9296242;12000PAE;MA|CAMB SELLO MECANICO BOMBA CIP1;20.01.2026;MECE ORAS;29.01.2026;8.07;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EDEC-SIT-01;SISTEMA DE TUBERIAS;20.01.2026;20.01.2026;11836031;9275974;;MA|FUGA AGUA MANGUERA LUB AGUA BOMBA JAR;20.01.2026;MECE ORAS;20.01.2026;61.62;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESRA-T181;TANQUE DE AGUA DULCE T181;20.01.2026;22.01.2026;11836032;9275983;11136PAE;CAMBI MEMBRA BOMB DIAFRAGMA JARSIM;20.01.2026;MECE ORAS;22.01.2026;109.73;USD
ZN;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;20.01.2026;16.02.2026;8000061587;9313708;12000PAE;MA|CAMBI SELLO MECANICO BOMB RECI HOLDIN;20.01.2026;MECE ORAS;16.02.2026;2.40;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6708-01;TANQUE 8 DE JARABE TERMINADO (6708);18.01.2026;19.01.2026;11835247;9273823;11136PAE;MA| Cambio de sello BT8 JT;18.01.2026;MECE ORAS;19.01.2026;1345.00;USD
ZN;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;14.01.2026;14.01.2026;8000061408;9271632;11136PAE;SEG | REPARAR GRADA DE CUARTO DE BOMBAS;14.01.2026;MECE ORAS;14.01.2026;1.50;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;13.01.2026;30.01.2026;11833184;9270771;11136PAE;RQ|REPARACION DE EJE MOTOBOMBA TQ CIP1;13.01.2026;MECE ORAS;23.05.2026;1.36;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6702-01;TANQUE 2 DE JARABE TERMINADO (6702);13.01.2026;16.02.2026;11833110;9313706;76002032;MA|CAMB ASIENTO DE EMPA DN65 LNEA2 P;13.01.2026;MECE ORAS;16.02.2026;365.25;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;12.01.2026;23.01.2026;11832780;9313894;11136PAE;MAl CAMBIAR VALVULA REGULADORA AIRE JS F;12.01.2026;MECE ORAS;30.04.2026;83.15;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6708-01;TANQUE 8 DE JARABE TERMINADO (6708);12.01.2026;15.01.2026;11832911;9270389;76012405;MA|FUGA SELLO MECANIC BOM TQS 8 JARTER;12.01.2026;MECE ORAS;15.01.2026;40.02;USD
